frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m
266,9.128,2.945,2.903,bbox,3.155,2.197,3.232,1.687,2.879,6.0001
267,9.163,2.269,2.901,pose,3.155,2.197,3.232,1.753,2.8942,6.0334
268,9.197,2.999,2.924,bbox,3.199,2.197,3.232,1.798,2.9043,6.0281
269,9.231,2.992,2.945,bbox,3.199,2.197,3.232,1.798,2.9162,6.0107
270,9.266,2.293,2.945,pose,3.199,2.197,3.232,1.798,2.9326,6.0028
271,9.3,2.987,2.987,bbox,3.236,2.197,3.232,1.798,2.9271,5.9942
272,9.334,2.98,2.987,bbox,3.236,2.197,3.232,1.798,2.9167,5.9532
273,9.369,2.051,2.98,pose,3.236,2.197,3.232,1.798,2.8958,5.8816
274,9.403,2.899,2.899,bbox,3.236,2.197,3.279,1.798,2.8738,5.7847
275,9.437,2.831,2.899,bbox,3.236,2.197,3.351,1.798,2.8661,5.7008
276,9.472,2.723,2.831,bbox,3.236,2.24,3.448,1.798,2.8579,5.572
277,9.506,2.679,2.723,bbox,3.236,2.24,3.532,1.798,2.8455,5.4814
278,9.54,2.567,2.723,bbox,3.236,2.24,3.66,1.798,2.8387,5.3743
279,9.574,2.17,2.679,pose,3.236,2.24,3.751,1.798,2.829,5.2999
280,9.609,2.444,2.567,bbox,3.236,2.275,3.858,1.798,2.8062,5.1974
281,9.643,2.387,2.444,bbox,3.236,2.275,3.933,1.798,2.8278,5.1564
282,9.677,1.985,2.387,pose,3.236,2.275,4.035,1.798,2.7987,5.1111
283,9.712,2.38,2.38,bbox,3.236,2.308,4.076,1.798,2.7348,5.1028
284,9.746,2.432,2.387,bbox,3.236,2.308,4.121,1.798,2.6837,5.1109
285,9.78,1.832,2.38,pose,3.236,2.379,4.121,1.798,2.6307,5.0619
286,9.815,2.379,2.379,bbox,3.236,2.43,4.121,1.798,2.6081,5.0047
287,9.849,2.568,2.38,bbox,3.236,2.483,4.121,1.798,2.5751,5.1395
288,9.883,1.756,2.379,pose,3.236,2.483,4.171,1.798,2.5377,5.0414
289,9.918,2.29,2.29,bbox,3.236,2.539,4.171,1.798,2.5388,4.9187
290,9.952,2.262,2.29,bbox,3.236,2.575,4.228,1.798,2.5372,4.8891
291,9.986,1.428,2.262,pose,3.236,2.575,4.314,1.798,2.5234,4.8321
292,10.021,2.23,2.23,bbox,3.236,2.575,4.314,1.798,2.4855,4.7565
293,10.055,2.205,2.23,bbox,3.236,2.575,4.4,1.798,2.4902,4.6969
294,10.089,1.615,2.205,pose,3.236,2.624,4.476,1.798,2.3648,4.6597
295,10.124,2.36,2.205,bbox,3.236,2.624,4.536,1.798,2.3324,4.6207
296,10.158,2.352,2.23,bbox,3.236,2.749,4.573,1.798,2.3308,4.6194
297,10.192,2.313,2.313,bbox,3.236,2.749,4.573,1.798,2.3698,4.6328
298,10.226,2.276,2.313,bbox,3.236,2.749,4.573,1.798,2.417,4.6759
299,10.261,2.242,2.313,bbox,3.236,2.749,4.573,1.798,2.5248,4.7464
300,10.295,2.337,2.313,bbox,3.288,2.749,4.573,1.798,2.5349,4.8367
301,10.329,2.237,2.276,bbox,3.396,2.749,4.573,1.885,2.6858,4.8896
302,10.364,2.255,2.255,bbox,3.396,2.749,4.573,1.975,2.7215,4.9367
303,10.398,2.371,2.255,pose,3.556,2.749,4.573,2.028,2.7118,4.9909
304,10.432,2.387,2.337,bbox,3.556,2.749,4.573,2.075,2.6867,5.0247
305,10.467,2.511,2.371,bbox,3.556,2.749,4.573,2.129,2.6305,5.085
306,10.501,2.273,2.371,pose,3.556,2.749,4.573,2.163,2.591,5.1255
307,10.535,2.662,2.387,bbox,3.556,2.804,4.573,2.224,2.5733,5.1551
308,10.57,2.67,2.511,bbox,3.556,2.844,4.573,2.264,2.5678,5.1495
309,10.604,2.244,2.511,pose,3.556,2.844,4.573,2.264,2.5573,5.1734
310,10.638,2.728,2.662,bbox,3.556,2.844,4.573,2.264,2.5526,5.1823
311,10.673,2.719,2.67,bbox,3.556,2.844,4.573,2.312,2.5668,5.2368
312,10.707,2.11,2.67,pose,3.556,2.844,4.573,2.312,2.6027,5.2461
313,10.741,2.649,2.649,bbox,3.556,2.844,4.573,2.375,2.6417,5.2806
