frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
184,6.133,4.097,4.108,bbox,0.909,0.347,0.987,0.255,3.7499,7.9079,,,,
185,6.167,,,,0.909,0.347,0.987,0.255,,,,,,
186,6.2,4.113,4.108,bbox,0.909,0.347,1.026,0.255,3.7516,7.8868,0.4096,,0.7404,
187,6.233,4.073,4.097,bbox,0.909,0.347,1.026,0.255,3.7461,7.8503,,,,
188,6.267,4.048,4.073,bbox,0.909,0.347,1.026,0.255,3.7522,7.8382,,,,
189,6.3,4.028,4.073,bbox,0.909,0.347,1.084,0.255,3.7581,7.8275,0.5542,,0.731,
190,6.333,4.029,4.048,bbox,0.909,0.347,1.084,0.255,3.7632,7.8091,,,,
191,6.367,4.028,4.029,bbox,0.909,0.347,1.084,0.255,3.7611,7.7899,,,,
192,6.4,4.069,4.029,pose,0.909,0.347,1.125,0.255,3.7881,7.7731,0.3299,0.1083,0.8053,0.8952
193,6.433,4.031,4.029,bbox,0.909,0.347,1.125,0.255,3.7959,7.7647,,,,
194,6.467,4.026,4.029,bbox,0.909,0.347,1.161,0.255,3.8035,7.7553,,,,
195,6.5,4.037,4.031,bbox,0.946,0.347,1.161,0.255,3.8215,7.7539,0.7185,,0.6424,
196,6.533,4.04,4.037,bbox,0.946,0.347,1.161,0.255,3.8213,7.7529,,,,
197,6.567,4.072,4.037,bbox,0.946,0.347,1.161,0.255,3.8164,7.7597,,,,
198,6.6,3.993,4.037,bbox,0.946,0.347,1.161,0.255,3.8909,7.7676,0.8463,,0.5743,
199,6.633,3.929,4.037,bbox,0.946,0.347,1.161,0.255,3.9256,7.7812,,,,
200,6.667,4.003,4.003,bbox,1.041,0.347,1.161,0.255,3.9219,7.7811,,,,
201,6.7,4.028,4.003,bbox,1.041,0.347,1.161,0.255,3.9126,7.7766,0.8438,,0.5331,
202,6.733,4.017,4.003,bbox,1.041,0.347,1.161,0.255,3.8913,7.7483,,,,
203,6.767,3.93,4.003,bbox,1.072,0.347,1.161,0.255,3.9216,7.7194,,,,
204,6.8,3.835,4.003,bbox,1.072,0.347,1.161,0.255,3.9391,7.6506,0.8716,,0.6415,
205,6.833,3.863,3.93,bbox,1.072,0.347,1.215,0.255,3.9148,7.6415,,,,
206,6.867,3.832,3.863,bbox,1.072,0.347,1.284,0.255,3.9237,7.609,,,,
207,6.9,2.969,3.835,pose,1.072,0.347,1.284,0.255,3.9474,7.6132,0.8372,0.0744,0.6668,0.7284
