frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
198,6.795,2.356,2.842,pose,1.462,1.215,2.238,0.627
199,6.829,2.881,2.842,bbox,1.499,1.215,2.238,0.679
200,6.863,2.921,2.856,bbox,1.499,1.215,2.238,0.679
201,6.898,2.857,2.857,bbox,1.499,1.215,2.238,0.679
202,6.932,2.884,2.881,bbox,1.499,1.215,2.238,0.721
203,6.966,2.931,2.884,bbox,1.499,1.215,2.238,0.721
204,7.001,2.952,2.921,bbox,1.499,1.215,2.238,0.752
205,7.035,2.921,2.921,bbox,1.499,1.215,2.238,0.752
206,7.069,3.017,2.931,bbox,1.538,1.215,2.238,0.752
207,7.104,2.988,2.952,bbox,1.604,1.215,2.238,0.795
208,7.138,2.93,2.952,bbox,1.673,1.215,2.238,0.846
209,7.172,2.919,2.93,bbox,1.791,1.215,2.238,0.846
210,7.207,2.801,2.93,bbox,1.832,1.215,2.238,0.846
211,7.241,2.665,2.919,bbox,1.887,1.215,2.238,0.846
212,7.275,2.659,2.801,bbox,1.933,1.215,2.238,0.846
213,7.31,2.318,2.665,pose,1.933,1.215,2.238,0.846
214,7.344,2.81,2.665,bbox,1.933,1.215,2.359,0.846
215,7.378,2.821,2.665,bbox,1.933,1.215,2.395,0.846
216,7.412,2.847,2.81,bbox,1.933,1.215,2.395,0.846
217,7.447,2.871,2.821,bbox,1.933,1.215,2.425,0.846
218,7.481,2.87,2.847,bbox,1.933,1.215,2.425,0.846
219,7.515,2.969,2.87,bbox,1.933,1.215,2.425,0.846
220,7.55,2.976,2.871,bbox,1.933,1.215,2.425,0.846
221,7.584,2.957,2.957,bbox,1.933,1.341,2.425,0.846
222,7.618,2.912,2.957,bbox,1.933,1.393,2.425,0.846
223,7.653,2.879,2.957,bbox,1.933,1.393,2.425,0.846
224,7.687,2.897,2.912,bbox,1.933,1.393,2.425,0.846
225,7.721,2.209,2.897,pose,1.933,1.393,2.425,0.846
226,7.756,2.881,2.881,bbox,1.933,1.393,2.465,0.846
227,7.79,2.833,2.879,bbox,1.933,1.393,2.465,0.846
228,7.824,2.772,2.833,bbox,1.933,1.393,2.465,0.846
229,7.859,2.73,2.772,bbox,1.933,1.393,2.465,0.846
230,7.893,2.723,2.772,bbox,1.933,1.393,2.465,0.846
231,7.927,2.745,2.745,bbox,2.044,1.393,2.465,0.846
232,7.962,2.753,2.745,bbox,2.076,1.393,2.465,0.846
233,7.996,2.754,2.745,bbox,2.076,1.393,2.465,0.846
234,8.03,2.722,2.745,bbox,2.076,1.393,2.465,0.846
235,8.065,2.733,2.745,bbox,2.076,1.393,2.465,0.904
236,8.099,2.731,2.733,bbox,2.076,1.393,2.465,0.904
237,8.133,2.149,2.731,pose,2.076,1.393,2.465,0.943
238,8.167,2.986,2.731,bbox,2.076,1.393,2.465,1.002
239,8.202,3.12,2.733,bbox,2.076,1.505,2.465,1.132
240,8.236,3.236,2.986,bbox,2.076,1.505,2.465,1.168
241,8.27,3.374,3.12,bbox,2.076,1.505,2.465,1.168
242,8.305,3.477,3.236,bbox,2.076,1.545,2.465,1.168
243,8.339,3.565,3.374,bbox,2.076,1.545,2.465,1.252
244,8.373,3.624,3.477,bbox,2.076,1.545,2.465,1.295
245,8.408,3.612,3.565,bbox,2.076,1.545,2.465,1.328
246,8.442,3.543,3.565,bbox,2.076,1.545,2.465,1.328
247,8.476,3.428,3.565,bbox,2.076,1.545,2.465,1.328
248,8.511,3.316,3.543,bbox,2.076,1.545,2.465,1.328
249,8.545,2.499,3.428,pose,2.076,1.545,2.465,1.328
250,8.579,3.126,3.316,bbox,2.076,1.545,2.465,1.328
251,8.614,3.101,3.126,bbox,2.114,1.545,2.465,1.328
252,8.648,2.465,3.101,pose,2.114,1.545,2.465,1.328
253,8.682,2.965,2.965,bbox,2.114,1.545,2.496,1.328
254,8.717,2.923,2.965,bbox,2.114,1.545,2.496,1.328
255,8.751,2.45,2.923,pose,2.114,1.545,2.496,1.328
256,8.785,2.962,2.923,bbox,2.114,1.545,2.496,1.328
257,8.819,2.998,2.962,bbox,2.114,1.545,2.496,1.328
