frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
237,7.9,3.636,3.621,bbox,2.119,0.426,1.65,0.476
238,7.933,3.614,3.621,bbox,2.119,0.426,1.65,0.476
239,7.967,3.59,3.621,bbox,2.166,0.426,1.65,0.476
240,8.0,3.556,3.614,bbox,2.166,0.426,1.65,0.476
241,8.033,3.477,3.59,bbox,2.222,0.426,1.65,0.476
242,8.067,3.413,3.556,bbox,2.252,0.426,1.65,0.476
243,8.1,3.029,3.477,pose,2.252,0.426,1.65,0.476
244,8.133,3.304,3.413,bbox,2.302,0.426,1.65,0.476
245,8.167,3.268,3.304,bbox,2.302,0.426,1.65,0.476
246,8.2,3.208,3.268,pose,2.302,0.426,1.65,0.476
247,8.233,3.132,3.208,bbox,2.302,0.426,1.692,0.476
248,8.267,3.155,3.208,bbox,2.347,0.426,1.692,0.476
249,8.3,2.774,3.155,pose,2.347,0.426,1.692,0.476
250,8.333,3.165,3.155,bbox,2.443,0.426,1.692,0.476
251,8.367,3.181,3.155,bbox,2.443,0.426,1.728,0.476
252,8.4,3.184,3.165,bbox,2.443,0.426,1.802,0.476
253,8.433,3.171,3.171,bbox,2.443,0.426,1.802,0.476
254,8.467,3.128,3.171,bbox,2.443,0.426,1.802,0.476
255,8.5,3.072,3.171,bbox,2.443,0.467,1.802,0.476
256,8.533,2.993,3.128,bbox,2.443,0.467,1.802,0.476
257,8.567,2.933,3.072,bbox,2.443,0.467,1.842,0.476
258,8.6,2.556,2.993,pose,2.443,0.467,1.842,0.476
259,8.633,2.964,2.964,bbox,2.493,0.467,1.842,0.476
260,8.667,2.968,2.964,bbox,2.493,0.467,1.877,0.476
261,8.7,4.316,2.964,pose,2.493,0.467,1.877,0.476
262,8.733,2.952,2.964,bbox,2.493,0.467,1.877,0.476
263,8.767,3.011,2.968,bbox,2.493,0.467,1.917,0.476
264,8.8,2.901,2.968,bbox,2.493,0.467,1.917,0.476
265,8.833,2.99,2.99,bbox,2.493,0.467,1.917,0.476
266,8.867,2.981,2.981,bbox,2.493,0.467,1.917,0.476
267,8.9,2.934,2.981,bbox,2.493,0.467,1.917,0.476
268,8.933,2.903,2.934,bbox,2.493,0.467,1.917,0.476
269,8.967,2.883,2.934,bbox,2.493,0.467,1.917,0.476
270,9.0,3.598,2.934,pose,2.493,0.467,1.917,0.476
271,9.033,2.788,2.903,bbox,2.493,0.467,1.917,0.476
272,9.067,2.781,2.883,bbox,2.541,0.467,1.917,0.476
273,9.1,2.778,2.788,bbox,2.624,0.467,1.917,0.476
274,9.133,2.764,2.781,bbox,2.624,0.467,1.953,0.476
275,9.167,2.733,2.778,bbox,2.624,0.467,1.953,0.476
276,9.2,2.723,2.764,bbox,2.624,0.467,1.953,0.476
277,9.233,2.71,2.733,bbox,2.664,0.467,1.953,0.476
278,9.267,2.733,2.733,bbox,2.664,0.467,1.953,0.476
279,9.3,2.786,2.733,bbox,2.664,0.467,1.953,0.476
280,9.333,2.812,2.733,bbox,2.664,0.467,1.953,0.531
281,9.367,2.829,2.786,bbox,2.697,0.467,1.953,0.578
