frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
186,3.72,2.469,3.214,pose,1.138,0.97,1.499,1.436,3.1063,6.1826,1.0323,0.7698,0.6373,0.5888
187,3.74,3.308,3.214,bbox,1.138,0.97,1.499,1.436,3.104,6.2095,,,,
188,3.76,3.159,3.214,bbox,1.138,0.97,1.499,1.436,3.1033,6.0898,,,,
189,3.78,2.395,3.159,pose,1.138,0.97,1.499,1.436,3.1003,6.0744,1.0399,0.8089,0.6209,0.5885
190,3.8,3.132,3.132,bbox,1.138,0.97,1.549,1.436,3.0999,6.0418,,,,
191,3.82,3.083,3.132,bbox,1.138,0.97,1.549,1.436,3.1012,6.035,,,,
192,3.84,2.234,3.083,pose,1.138,0.97,1.597,1.436,3.1043,6.0235,1.0395,0.9282,0.6316,0.6039
193,3.86,3.09,3.083,bbox,1.138,0.97,1.597,1.436,3.1196,6.013,,,,
194,3.88,3.007,3.083,bbox,1.138,0.97,1.597,1.436,3.139,5.971,,,,
195,3.9,2.136,3.007,pose,1.138,0.97,1.597,1.436,3.1431,5.9285,0.9676,0.988,0.6332,0.6035
196,3.92,2.972,2.972,bbox,1.138,0.97,1.668,1.436,3.16,5.9376,,,,
197,3.94,2.873,2.972,bbox,1.138,0.97,1.701,1.436,3.1783,5.8768,,,,
198,3.96,2.102,2.873,pose,1.183,0.97,1.701,1.436,3.1944,5.8331,0.8838,0.9681,0.6539,0.5882
199,3.98,2.898,2.873,bbox,1.183,0.97,1.701,1.436,3.2148,5.9118,,,,
200,4.0,2.866,2.873,bbox,1.217,0.97,1.753,1.436,3.2347,5.8863,,,,
201,4.02,2.072,2.866,pose,1.217,0.97,1.753,1.436,3.2514,5.9307,0.842,0.9371,0.6531,0.5337
202,4.04,2.909,2.866,bbox,1.257,0.97,1.753,1.436,3.2695,5.9244,,,,
203,4.06,2.837,2.866,bbox,1.257,0.97,1.753,1.436,3.2751,5.8597,,,,
204,4.08,2.106,2.837,pose,1.292,0.97,1.753,1.436,3.2884,5.8199,0.8169,0.9079,0.6609,0.5136
205,4.1,2.897,2.837,bbox,1.292,0.97,1.753,1.436,3.2964,5.9075,,,,
206,4.12,2.842,2.842,bbox,1.292,0.97,1.753,1.436,3.2943,5.875,,,,
207,4.14,2.088,2.837,pose,1.292,0.97,1.753,1.436,3.294,5.9253,0.7912,0.9208,0.6352,0.538
208,4.16,2.831,2.831,bbox,1.292,0.97,1.753,1.436,3.2946,5.9064,,,,
209,4.18,2.831,2.831,bbox,1.292,0.97,1.753,1.436,3.2835,5.9213,,,,
210,4.2,2.062,2.831,pose,1.292,0.97,1.753,1.436,3.2664,5.9121,0.8029,0.9606,0.6846,0.6016
211,4.22,2.835,2.831,bbox,1.292,0.97,1.753,1.471,3.2556,5.9236,,,,
212,4.24,2.871,2.831,bbox,1.292,0.97,1.753,1.471,3.2313,5.955,,,,
