frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
168,5.606,1.151,1.378,1.609,pose,1.681,0.502,1.717,0.667,2.9939,4.5762,0.4045,0.1283,0.8169,0.6613
169,5.639,1.643,1.435,1.643,bbox,1.681,0.57,1.717,0.716,2.9706,4.5989,,,,
170,5.672,1.68,1.524,1.68,bbox,1.681,0.627,1.717,0.75,2.9495,4.6198,,,,
171,5.706,1.545,1.545,1.739,pose,1.681,0.627,1.717,0.75,2.922,4.6512,0.2092,0.0217,0.8077,0.6764
172,5.739,1.764,1.643,1.764,bbox,1.681,0.672,1.717,0.793,2.9067,4.6742,,,,
173,5.772,1.815,1.68,1.815,bbox,1.681,0.672,1.717,0.825,2.8751,4.7045,,,,
174,5.806,1.655,1.68,1.902,pose,1.681,0.715,1.717,0.825,2.8169,4.7344,0.3992,0.0839,0.8421,0.6813
175,5.839,1.998,1.764,1.998,bbox,1.681,0.746,1.717,0.878,2.7605,4.7691,,,,
176,5.873,2.053,1.815,2.053,bbox,1.681,0.804,1.717,0.878,2.72,4.7921,,,,
177,5.906,1.678,1.815,2.103,pose,1.681,0.861,1.717,0.942,2.6805,4.805,0.6466,0.292,0.8051,0.6909
178,5.939,2.154,1.998,2.154,bbox,1.681,0.901,1.717,0.942,2.6466,4.8144,,,,
179,5.973,2.255,2.053,2.255,bbox,1.681,0.941,1.717,0.978,2.5565,4.8243,,,,
180,6.006,1.854,2.053,2.308,pose,1.681,0.975,1.717,0.978,2.5106,4.8337,0.7372,0.0801,0.8062,0.6633
181,6.039,2.307,2.154,2.307,bbox,1.681,1.065,1.717,0.978,2.5185,4.8441,,,,
182,6.073,2.324,2.255,2.324,bbox,1.681,1.103,1.717,0.978,2.4993,4.8515,,,,
183,6.106,1.782,2.255,2.348,pose,1.681,1.103,1.717,1.017,2.4927,4.8728,0.7448,0.2871,0.8324,0.6436
