frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
109,3.637,2.959,2.948,2.959,bbox,1.166,0.621,0.878,0.815,1.6666,4.3327,,,,
110,3.67,2.982,2.959,2.982,bbox,1.166,0.621,0.878,0.815,1.6811,4.3453,,,,
111,3.704,2.159,2.948,2.983,pose,1.2,0.621,0.878,0.852,1.6863,4.3524,1.0168,0.7887,0.6714,0.5129
112,3.737,2.985,2.959,2.985,bbox,1.2,0.621,0.878,0.852,1.7098,4.3553,,,,
113,3.77,2.988,2.982,2.988,bbox,1.2,0.621,0.878,0.852,1.7259,4.3603,,,,
114,3.804,3.001,2.985,3.001,bbox,1.243,0.621,0.878,0.852,1.737,4.3549,1.0065,,0.6761,
115,3.837,2.998,2.988,2.998,bbox,1.243,0.621,0.878,0.852,1.7428,4.3526,,,,
116,3.871,2.994,2.994,2.994,bbox,1.243,0.621,0.878,0.852,1.7472,4.3514,,,,
117,3.904,2.086,2.994,2.987,pose,1.276,0.621,0.878,0.852,1.758,4.3626,1.0059,0.862,0.6558,0.4327
118,3.937,2.965,2.994,2.965,bbox,1.276,0.621,0.878,0.852,1.7661,4.3754,,,,
119,3.971,2.94,2.965,2.94,bbox,1.276,0.621,0.878,0.852,1.7784,4.3803,,,,
120,4.004,2.055,2.94,2.91,pose,1.276,0.621,0.878,0.895,1.7972,4.3948,1.0132,0.8737,0.631,0.5631
121,4.037,2.89,2.89,2.89,bbox,1.311,0.621,0.878,0.895,1.8199,4.4056,,,,
122,4.071,2.881,2.89,2.881,bbox,1.311,0.621,0.878,0.895,1.831,4.4163,,,,
123,4.104,2.023,2.881,2.852,pose,1.353,0.621,0.878,0.925,1.8441,4.4166,1.0183,0.8525,0.6374,0.6078
124,4.137,2.837,2.837,2.837,bbox,1.353,0.621,0.878,0.925,1.8547,4.4226,,,,
125,4.171,2.844,2.844,2.844,bbox,1.353,0.621,0.878,0.925,1.8565,4.425,,,,
126,4.204,2.137,2.837,2.866,pose,1.388,0.621,0.878,0.925,1.8601,4.4248,1.0107,0.7571,0.6203,0.5854
127,4.238,2.895,2.837,2.895,bbox,1.388,0.621,0.878,0.925,1.8651,4.4271,,,,
128,4.271,2.939,2.844,2.939,bbox,1.388,0.621,0.878,0.925,1.8658,4.4363,,,,
129,4.304,2.218,2.844,2.975,pose,1.388,0.621,0.878,0.925,1.8651,4.4443,1.0231,0.7562,0.6208,0.5468
130,4.338,2.988,2.895,2.988,bbox,1.388,0.621,0.878,0.956,1.8655,4.4549,,,,
131,4.371,2.996,2.939,2.996,bbox,1.388,0.621,0.878,0.956,1.8728,4.4728,,,,
132,4.404,2.205,2.939,3.01,pose,1.388,0.621,0.878,0.956,1.8758,4.4999,1.0168,0.8213,0.6057,0.5481
133,4.438,3.043,2.988,3.043,bbox,1.388,0.621,0.878,0.993,1.8705,4.5321,,,,
134,4.471,3.1,2.996,3.1,bbox,1.388,0.621,0.878,0.993,1.866,4.5887,,,,
135,4.505,2.194,2.996,3.184,pose,1.388,0.621,0.878,1.052,1.8593,4.6702,1.0236,0.9651,0.6082,0.5784
136,4.538,3.221,3.043,3.221,bbox,1.388,0.621,0.878,1.108,1.8476,4.7173,,,,
137,4.571,3.246,3.1,3.246,bbox,1.388,0.621,0.878,1.19,1.8389,4.7468,,,,
138,4.605,2.416,3.1,3.279,pose,1.388,0.621,0.878,1.237,1.8246,4.7524,1.0309,0.8973,0.6193,0.5986
139,4.638,3.308,3.221,3.308,bbox,1.388,0.621,0.878,1.237,1.8126,4.7614,,,,
140,4.671,3.349,3.246,3.349,bbox,1.388,0.652,0.878,1.272,1.8003,4.7681,,,,
141,4.705,2.606,3.246,3.358,pose,1.388,0.652,0.878,1.272,1.7869,4.7587,1.0059,0.0331,0.6165,0.3323
