frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
154,6.16,1.597,1.612,1.597,bbox,0.322,0.436,0.099,0.13,3.2457,4.6462,,,,
155,6.2,1.589,1.597,1.589,bbox,0.322,0.436,0.099,0.13,3.2487,4.6457,,,,
156,6.24,1.919,1.597,1.589,pose,0.322,0.436,0.099,0.13,3.2587,4.6436,0.3296,0.009,0.418,1.2956
157,6.28,1.591,1.597,1.591,bbox,0.322,0.436,0.099,0.13,3.2538,4.6434,,,,
158,6.32,1.572,1.591,1.572,bbox,0.322,0.436,0.099,0.13,3.2836,4.6414,,,,
159,6.36,1.975,1.591,1.563,pose,0.322,0.436,0.099,0.13,3.3015,4.6419,0.3389,0.1043,0.3877,1.2009
160,6.4,1.567,1.591,1.567,bbox,0.322,0.436,0.099,0.13,3.2876,4.6397,,,,
161,6.44,1.587,1.587,1.587,bbox,0.322,0.436,0.099,0.13,3.2533,4.6399,,,,
162,6.48,2.088,1.587,1.593,pose,0.322,0.436,0.099,0.13,3.2379,4.6386,0.4042,0.1503,0.3904,1.2925
163,6.52,1.588,1.588,1.588,bbox,0.322,0.436,0.099,0.13,3.2318,4.6395,,,,
164,6.56,1.586,1.587,1.586,bbox,0.322,0.436,0.099,0.13,3.2277,4.6389,,,,
165,6.6,1.985,1.588,1.583,pose,0.322,0.436,0.099,0.13,3.2283,4.6386,0.4227,0.1021,0.3714,1.2765
166,6.64,1.583,1.588,1.583,bbox,0.322,0.436,0.099,0.13,3.232,4.6367,,,,
167,6.68,1.585,1.586,1.585,bbox,0.322,0.467,0.099,0.13,3.2277,4.6376,,,,
168,6.72,1.923,1.586,1.578,pose,0.322,0.467,0.099,0.13,3.2279,4.638,0.4167,0.1046,0.3853,1.2267
169,6.76,1.559,1.585,1.559,bbox,0.322,0.467,0.099,0.13,3.2294,4.638,,,,
170,6.8,1.549,1.583,1.549,bbox,0.322,0.467,0.099,0.13,3.2331,4.6376,,,,
171,6.84,1.88,1.585,1.543,pose,0.322,0.467,0.099,0.13,3.2441,4.6372,0.4158,0.0935,0.4118,1.2038
172,6.88,1.537,1.559,1.537,bbox,0.322,0.467,0.099,0.13,3.256,4.6374,,,,
173,6.92,1.554,1.554,1.554,bbox,0.322,0.467,0.099,0.13,3.2466,4.6375,,,,
174,6.96,2.023,1.554,1.568,pose,0.322,0.467,0.099,0.13,3.2449,4.6372,0.3992,0.1185,0.3948,1.2814
175,7.0,1.573,1.573,1.573,bbox,0.322,0.467,0.099,0.13,3.2454,4.6378,,,,
176,7.04,1.575,1.573,1.575,bbox,0.322,0.467,0.099,0.13,3.2443,4.637,,,,
177,7.08,2.056,1.575,1.574,pose,0.322,0.467,0.099,0.13,3.2451,4.6376,0.4128,0.1202,0.3663,1.2754
178,7.12,1.585,1.585,1.585,bbox,0.322,0.467,0.099,0.13,3.2429,4.6371,,,,
179,7.16,1.604,1.585,1.604,bbox,0.322,0.467,0.099,0.13,3.232,4.6373,,,,
180,7.2,1.967,1.604,1.617,pose,0.322,0.467,0.099,0.13,3.1944,4.6373,0.5321,0.0819,0.3779,1.2377
181,7.24,1.635,1.635,1.635,bbox,0.322,0.467,0.099,0.13,3.1702,4.6378,,,,
182,7.28,1.634,1.634,1.634,bbox,0.322,0.501,0.099,0.13,3.1516,4.6381,,,,
183,7.32,2.027,1.635,1.643,pose,0.322,0.501,0.099,0.13,3.1414,4.638,0.4535,0.0654,0.3655,1.2896
184,7.36,1.687,1.687,1.687,bbox,0.322,0.544,0.099,0.13,3.0983,4.6382,,,,
185,7.4,1.702,1.687,1.702,bbox,0.322,0.544,0.099,0.13,3.0937,4.6388,,,,
186,7.44,1.725,1.702,1.725,bbox,0.322,0.597,0.099,0.13,3.0601,4.6385,,0.0904,,1.2037
187,7.48,1.765,1.725,1.765,bbox,0.322,0.597,0.099,0.13,3.0083,4.6381,,,,
188,7.52,1.835,1.725,1.835,bbox,0.322,0.635,0.099,0.13,2.9202,4.638,,,,
189,7.56,1.891,1.765,1.891,bbox,0.322,0.687,0.099,0.13,2.8547,4.6378,,0.0198,,1.1054
190,7.6,1.943,1.835,1.943,bbox,0.322,0.775,0.099,0.13,2.7915,4.6368,,,,
191,7.64,1.984,1.891,1.984,bbox,0.322,0.84,0.099,0.13,2.762,4.6375,,,,
192,7.68,2.042,1.943,1.986,pose,0.322,0.904,0.099,0.13,2.7463,4.6359,0.1634,0.0401,0.4348,1.1452
193,7.72,1.946,1.946,1.946,bbox,0.322,0.904,0.099,0.13,2.7537,4.6363,,,,
194,7.76,1.938,1.946,1.938,bbox,0.322,0.936,0.099,0.13,2.7589,4.6357,,,,
195,7.8,1.967,1.967,1.967,bbox,0.322,0.936,0.099,0.13,2.6648,4.634,,0.0378,,1.3565
196,7.84,2.018,1.967,2.018,bbox,0.322,0.936,0.099,0.13,2.6035,4.6334,,,,
197,7.88,2.061,1.967,2.061,bbox,0.322,1.03,0.099,0.13,2.543,4.6278,,,,
198,7.92,2.099,2.018,2.099,bbox,0.322,1.092,0.099,0.13,2.4717,4.6139,,0.1228,,1.2304
199,7.96,2.331,2.061,2.331,bbox,0.322,1.152,0.131,0.13,2.0586,4.603,,,,
200,8.0,2.263,2.099,2.263,bbox,0.322,1.223,0.131,0.13,2.0239,4.5873,,,,
201,8.04,2.144,2.144,2.144,bbox,0.322,1.373,0.131,0.13,2.0658,4.5841,,0.1547,,1.2858
202,8.08,2.183,2.183,2.183,bbox,0.322,1.373,0.171,0.13,2.0367,4.5671,,,,
203,8.12,2.159,2.183,2.159,bbox,0.322,1.373,0.171,0.13,2.0538,4.5383,,,,
204,8.16,2.007,2.159,2.007,bbox,0.322,1.373,0.171,0.13,2.137,4.4698,,0.1069,,1.4517
205,8.2,1.855,2.144,1.855,bbox,0.322,1.373,0.22,0.13,2.2217,4.3944,,,,
206,8.24,1.706,2.007,1.706,bbox,0.393,1.373,0.289,0.13,2.2916,4.2874,,,,
207,8.28,1.587,1.855,1.587,bbox,0.478,1.373,0.364,0.13,2.3002,4.199,,0.0911,,1.5014
208,8.32,1.458,1.706,1.458,bbox,0.548,1.373,0.471,0.13,2.3865,4.172,,,,
209,8.36,1.412,1.587,1.412,bbox,0.548,1.373,0.56,0.13,2.4081,4.1626,,,,
210,8.4,1.4,1.458,1.4,bbox,0.642,1.373,0.56,0.13,2.4315,4.1704,,0.1556,,1.6955
211,8.44,1.387,1.412,1.387,bbox,0.642,1.373,0.56,0.13,2.4477,4.1802,,,,
212,8.48,1.376,1.4,1.376,bbox,0.687,1.373,0.56,0.13,2.458,4.1784,,,,
213,8.52,1.363,1.387,1.363,bbox,0.687,1.373,0.56,0.13,2.4633,4.176,,0.3336,,1.9761
214,8.56,1.357,1.376,1.357,bbox,0.687,1.373,0.56,0.13,2.4624,4.1808,,,,
215,8.6,1.344,1.363,1.344,bbox,0.718,1.373,0.56,0.13,2.4626,4.1759,,,,
216,8.64,2.148,1.363,1.328,pose,0.718,1.373,0.56,0.13,2.4839,4.179,0.2328,0.2477,0.7214,1.869
217,8.68,1.427,1.363,1.427,bbox,0.718,1.373,0.56,0.13,2.5103,4.3516,,,,
218,8.72,1.445,1.427,1.445,bbox,0.718,1.373,0.56,0.13,2.5161,4.3731,,,,
219,8.76,2.059,1.445,1.306,pose,0.766,1.373,0.56,0.13,2.5286,4.2025,0.1635,0.2147,0.749,1.8839
220,8.8,1.323,1.445,1.323,bbox,0.766,1.373,0.56,0.13,2.5274,4.2233,,,,
221,8.84,1.364,1.427,1.364,bbox,0.766,1.373,0.56,0.194,2.5105,4.2627,,,,
222,8.88,1.848,1.445,1.388,pose,0.766,1.373,0.56,0.194,2.5268,4.3089,0.1975,0.1744,0.7689,1.3826
223,8.92,1.428,1.428,1.428,bbox,0.766,1.373,0.56,0.194,2.5137,4.3413,,,,
224,8.96,1.434,1.428,1.434,bbox,0.766,1.373,0.56,0.24,2.5238,4.3644,,,,
225,9.0,2.048,1.434,1.452,pose,0.766,1.373,0.56,0.272,2.5162,4.3942,0.2719,0.345,0.8032,1.6684
226,9.04,1.467,1.467,1.467,bbox,0.766,1.373,0.56,0.272,2.504,4.4065,,,,
227,9.08,1.508,1.467,1.508,bbox,0.766,1.373,0.56,0.325,2.4857,4.4328,,,,
228,9.12,2.024,1.508,1.545,pose,0.766,1.373,0.56,0.325,2.4647,4.4472,0.3884,0.2704,0.7876,1.557
